basket,run,status,operator,blkcnt,lastblk,lastmod-l,lastmod-h,target_site,pipever,starttime,wallclock,endtime
20121124_FNT1,D00155215_r72p05,U,mjohns44,1/1,se_fringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:36:50,21:22:27,
20121124_FNT1,D00155220_r72p02,F,mjohns44,1/1,se_fringe,detrend_fringe:U,detrend_fringe:U,fermigrid,0.9.7+0,05/05/2014 10:36:52,0:08:30,05/05/2014 10:45:22
20121124_FNT1,D00155220_r72p03,U,mjohns44,1/1,se_nofringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:37:17,21:21:58,
20121124_FNT1,D00155216_r72p04,U,mjohns44,1/1,se_fringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:37:20,21:21:58,
20121124_FNT1,D00155223_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:U,update-scamp-headers:U,fermigrid,0.9.7+0,05/05/2014 10:37:46,21:21:30,
20121124_FNT1,D00155218_r72p04,U,mjohns44,1/1,se_fringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:38:01,21:21:13,
20121124_FNT1,D00155224_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:38:20,21:20:56,
20121124_FNT1,D00155219_r72p04,U,mjohns44,1/1,se_fringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:38:32,21:20:45,
20121124_FNT1,D00155225_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:38:54,21:20:23,
20121124_FNT1,D00155221_r72p02,U,mjohns44,1/1,se_fringe,update-scamp-headers:U,update-scamp-headers:U,fermigrid,0.9.7+0,05/05/2014 10:38:56,21:20:22,
20121124_FNT1,D00155228_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:U,update-scamp-headers:U,fermigrid,0.9.7+0,05/05/2014 10:39:23,21:19:53,
20121124_FNT1,D00155222_r72p02,U,mjohns44,1/1,se_fringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:39:36,21:19:38,
20121124_FNT1,D00155229_r72p02,U,mjohns44,1/1,se_nofringe,create-scamp-catalog:P,create-scamp-catalog:P,fermigrid,0.9.7+0,05/05/2014 10:39:55,21:19:20,
20121124_FNT1,D00155226_r72p02,U,mjohns44,1/1,se_fringe,create-scamp-catalog:P,create-scamp-catalog:P,fermigrid,0.9.7+0,05/05/2014 10:40:08,21:19:06,
20121124_FNT1,D00155230_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:40:27,21:18:49,
20121124_FNT1,D00155227_r72p02,U,mjohns44,1/1,se_fringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:40:40,21:18:38,
20121124_FNT1,D00155235_r72p02,U,mjohns44,1/1,se_nofringe,run-scamp:P,run-scamp:P,fermigrid,0.9.7+0,05/05/2014 10:41:08,21:18:07,
20121124_FNT1,D00155231_r72p02,U,mjohns44,1/1,se_fringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:41:10,21:18:05,
20121124_FNT1,D00155236_r72p02,U,mjohns44,1/1,se_nofringe,create-scamp-catalog:U,create-scamp-catalog:U,fermigrid,0.9.7+0,05/05/2014 10:41:45,21:17:32,
20121124_FNT1,D00155232_r72p02,U,mjohns44,1/1,se_fringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:41:46,21:17:30,
20121124_FNT1,D00155237_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:42:08,21:17:05,
20121124_FNT1,D00155234_r72p02,U,mjohns44,1/1,se_fringe,update-scamp-headers:U,update-scamp-headers:U,fermigrid,0.9.7+0,05/05/2014 10:42:13,21:17:02,
20121124_FNT1,D00155240_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:U,update-scamp-headers:U,fermigrid,0.9.7+0,05/05/2014 10:42:44,21:16:33,
20121124_FNT1,D00155238_r72p02,U,mjohns44,1/1,se_fringe,create-scamp-catalog:P,create-scamp-catalog:P,fermigrid,0.9.7+0,05/05/2014 10:42:45,21:16:30,
20121124_FNT1,D00155241_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:U,update-scamp-headers:U,fermigrid,0.9.7+0,05/05/2014 10:43:13,21:16:03,
20121124_FNT1,D00155239_r72p02,U,mjohns44,1/1,se_fringe,create-scamp-catalog:U,create-scamp-catalog:U,fermigrid,0.9.7+0,05/05/2014 10:43:15,21:16:03,
20121124_FNT1,D00155242_r72p02,U,mjohns44,1/1,se_fringe,create-scamp-catalog:P,create-scamp-catalog:P,fermigrid,0.9.7+0,05/05/2014 10:43:48,21:15:27,
20121124_FNT1,D00155244_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:U,update-scamp-headers:U,fermigrid,0.9.7+0,05/05/2014 10:43:52,21:15:26,
20121124_FNT1,D00155243_r72p02,U,mjohns44,1/1,se_fringe,run-scamp:P,run-scamp:P,fermigrid,0.9.7+0,05/05/2014 10:44:29,21:14:46,
20121124_FNT1,D00155246_r72p02,U,mjohns44,1/1,se_nofringe,update-scamp-headers:P,update-scamp-headers:P,fermigrid,0.9.7+0,05/05/2014 10:44:30,21:14:46,
20121124_FNT1,D00155250_r72p02,U,mjohns44,1/1,se_fringe,update-scamp-headers:U,update-scamp-headers:U,fermigrid,0.9.7+0,05/05/2014 10:45:00,21:14:15,
